x1,x2,y
0.780741773,0.412336852,0
0.623970212,0.940463987,0
0.891573496,0.435561571,0
0.590269535,0.586358785,1
0.903968044,0.631883242,0
0.456845388,0.657685545,1
0.659013767,0.860302023,0
0.865433424,0.398123439,0
0.390158207,0.848540328,0
0.721975138,0.811998293,0
0.622505664,0.361883365,1
0.375856014,0.711758268,1
0.261727034,0.858898061,1
0.64295051,0.572124042,1
0.937318011,0.414757949,0
0.223301785,0.926210512,1
0.695393764,0.572820255,1
0.349146293,0.645501279,0
0.870371184,0.829088096,1
0.009366475,0.34640266,0
0.891871979,0.860718027,0
0.222046504,0.316492598,1
0.457751951,0.067466418,0
0.678019398,0.435261576,1
0.740492987,0.259809513,1
0.98514377,0.425042319,0
0.53355834,0.923468778,0
0.020839212,0.571958556,0
0.395379326,0.349226443,1
0.563022785,0.795645815,0
0.008526021,0.47176771,0
0.224640346,0.653362917,0
0.27705255,0.472429443,1
0.416587221,0.769920463,0
0.513073579,0.460133964,1
0.775254857,0.393145435,0
0.860281532,0.630945034,0
0.158719516,0.475444246,0
0.052702025,0.092639144,0
0.172650113,0.80218046,0
0.183449314,0.782311471,0
0.487183759,0.113479564,0
0.83232775,0.215612549,1
0.064949216,0.854904351,1
0.791922394,0.278629782,1
0.052719918,0.99120992,0
0.616906828,0.292716576,1
0.348928935,0.344487143,1
0.231963916,0.77711285,0
0.352491353,0.839307529,0
0.878076381,0.525528084,0
0.055350683,0.832346103,1
0.101706904,0.551001265,1
0.133728752,0.539705943,0
0.494946453,0.727609899,1
0.522130204,0.256909669,1
0.782107077,0.653552668,0
0.084935424,0.086598214,0
0.186026754,0.295904617,1
0.91486172,0.674732918,0
0.662853024,0.611283641,0
0.01974544,0.504311568,0
0.17849264,0.49886556,0
0.160714524,0.153036524,0
0.547783042,0.581678011,1
0.599453919,0.053055814,0
0.14442808,0.083544864,0
0.143676783,0.19449867,1
0.811378204,0.506554715,0
0.414142265,0.806699241,0
0.221970306,0.542413884,0
0.200945442,0.156449617,0
0.910375427,0.588481308,0
0.744979429,0.446010222,0
0.277316795,0.382461579,1
0.674368226,0.717130115,0
0.310013093,0.801818627,0
0.788134113,0.008246274,0
0.911089767,0.932349797,0
0.642343023,0.610946892,1
0.99097104,0.256822625,0
0.981508255,0.51647827,0
0.390001746,0.090630223,1
0.471505937,0.032111888,0
0.819540352,0.794199912,0
0.580173835,0.213458849,1
0.251185674,0.312581527,1
0.063037006,0.310199032,0
0.466459456,0.601498149,1
0.367648378,0.246394115,1
0.508389578,0.546407211,1
0.829992683,0.290215266,0
0.953243667,0.452440005,0
0.532614024,0.459162439,1
0.924877981,0.680081461,0
0.9561835,0.795279715,0
0.956363666,0.075374956,0
0.977574704,0.449089333,0
0.885712204,0.702294844,0
0.215371359,0.278175376,1
0.193836043,0.194147383,1
0.022202412,0.74799336,0
0.150859941,0.106530145,0
0.872099933,0.842587278,0
0.399457046,0.740773154,0
0.968914698,0.443459507,0
0.907222471,0.367139967,0
0.84722815,0.806284579,1
0.221959815,0.418239073,1
0.415902856,0.491262033,1
0.969054494,0.551608109,0
0.583570521,0.395608393,1
0.472207634,0.940104735,0
0.672228681,0.180538964,0
0.353342645,0.786053627,0
0.698677167,0.128265155,0
0.454743329,0.127691524,0
0.647121973,0.777732335,0
0.613792829,0.420150364,1
0.266425837,0.715901933,0
0.927523339,0.153304111,0
0.283454212,0.088236629,0
0.83871762,0.205026938,1
0.622670154,0.021184093,0
0.71290665,0.595401492,0
0.239650321,0.722565101,0
0.826573882,0.538903298,0
0.698887489,0.078817577,0
0.602905736,0.096125799,0
0.672991234,0.946338342,0
0.111219659,0.38621051,0
0.30666613,0.967148351,1
0.739222392,0.722700217,0
0.418156384,0.914390574,0
0.80634449,0.827839485,0
0.511812559,0.104635394,0
0.685024137,0.100783117,0
0.979931884,0.083126101,0
0.339175042,0.422529875,1
0.221077988,0.492189337,0
0.795301748,0.580095798,0
0.285948883,0.564577655,0
0.09819972,0.634423638,0
0.952209319,0.446421232,0
0.986410236,0.883483358,0
0.061731318,0.466210739,0
0.254424968,0.050420437,0
0.873904977,0.28333526,0
0.205956284,0.876709185,1
0.059149935,0.952303065,0
0.947586945,0.098321686,0
0.681258749,0.28207048,1
0.332834372,0.981742354,1
0.514263552,0.618619212,1
0.209530364,0.039727566,0
0.362475298,0.348333963,1
0.168949672,0.511499253,0
0.172647431,0.210136914,1
0.87584456,0.373842868,0
0.643330945,0.257563947,1
0.667490585,0.885301832,0
0.031057659,0.033909869,0
0.135722285,0.386507709,0
0.544014966,0.460239093,1
0.13790786,0.251715781,1
0.313260299,0.551480795,1
0.802826413,0.646898081,0
0.884450395,0.661100662,0
0.290500073,0.882239285,0
0.934838888,0.905157676,0
0.234881818,0.351622626,1
0.233684434,0.048890458,0
0.45757781,0.16528672,0
0.402120843,0.289269895,1
0.022027286,0.280032285,0
0.553468405,0.050523642,0
0.07312673,0.653775289,0
0.861109555,0.613682754,0
0.635002758,0.654683852,0
0.902537395,0.989040096,0
0.047702924,0.338026648,0
0.901062594,0.808420389,1
0.515726582,0.558911943,1
0.367416518,0.355648534,1
0.359987628,0.506090116,0
0.727176747,0.902947234,0
0.915553712,0.909033809,0
0.821414062,0.438334293,0
0.229866123,0.958097233,0
0.949990727,0.624771017,0
0.278083526,0.432903698,1
0.187740977,0.471711518,0
0.433318648,0.54517146,1
0.985091016,0.572784323,0
0.583330452,0.535721328,1
0.762650464,0.782036441,0
0.182265561,0.276510829,1
0.850228187,0.104431787,0
0.803894608,0.260017229,1
0.141059438,0.976884956,0
0.598101942,0.209032755,1
0.317658945,0.362877961,1
0.513619082,0.678206297,1
0.472171415,0.655804116,1
0.812757119,0.009773987,0
0.222873897,0.983603906,0
0.868147838,0.845101768,0
0.283454495,0.471195081,1
0.182594206,0.489945422,0
0.129725016,0.273461374,1
0.256880841,0.693063491,0
0.548838176,0.979957634,0
0.137207264,0.431551112,0
0.890424638,0.160646311,0
0.700543538,0.92595041,0
0.278409462,0.55381765,1
0.568209514,0.017213095,0
0.032945233,0.323618761,0
0.127195769,0.781609169,0
0.690696705,0.480690297,1
0.426697023,0.284233389,1
0.693740713,0.423755977,1
0.682711996,0.151568263,0
0.699723144,0.15366191,0
0.285330581,0.518902108,0
0.733998032,0.074816814,0
0.290132927,0.872955437,0
0.00143723,0.776871124,0
0.119079218,0.001857117,0
0.970414908,0.757249605,0
0.253981411,0.507869718,0
0.677198915,0.146775088,0
0.79865563,0.645729737,0
0.652259417,0.068940629,0
0.059619894,0.957174802,0
0.117563814,0.489239189,0
0.671241496,0.113775855,0
0.671595665,0.827035458,0
0.25428258,0.050908403,0
0.225441419,0.264677956,1
0.861146117,0.591023332,0
0.583560824,0.264085302,1
0.594127003,0.695089841,1
0.445613379,0.152961833,0
0.588082769,0.6702015,0
0.505283432,0.784962151,1
0.63814341,0.018630825,0
0.751781202,0.885030536,0
0.141507693,0.625964135,0
0.477780297,0.894819402,0
0.768426846,0.010832544,0
0.308855168,0.243832382,1
0.754373677,0.214099806,1
0.204139175,0.295927915,1
0.004840177,0.406357097,0
0.385972381,0.535449733,0
0.960861319,0.859177092,0
0.311169072,0.848376089,0
0.861274811,0.005816471,0
0.835247185,0.698871866,0
0.822143083,0.548764923,0
0.539017743,0.30205499,1
0.696954637,0.090213704,0
0.309537964,0.74047733,0
0.105850317,0.500970471,0
0.66394183,0.627344815,0
0.665243763,0.834946397,0
0.301799083,0.699640801,0
0.379060329,0.858261492,0
0.972514885,0.067404743,0
0.094190617,0.622372084,0
0.106613972,0.476214245,0
0.133730442,0.044363291,0
0.436267249,0.569668318,1
0.12957306,0.834258879,0
0.84651035,0.170754364,0
0.050919072,0.82865321,0
0.263422042,0.678716685,0
0.976981279,0.527329452,0
0.419397579,0.818823857,0
0.751600392,0.954788597,0
0.659565729,0.210064528,1
0.074514975,0.040604975,0
0.155152933,0.584598334,0
0.840732996,0.111772596,0
0.840930053,0.131281727,0
0.755130667,0.716395002,0
0.051309217,0.629597602,0
0.1906722,0.930092659,0
0.407429913,0.468994729,1
0.266312236,0.305733399,1
0.048951143,0.82200543,0
0.323017153,0.547567739,0
0.202289626,0.22679215,1
0.932805694,0.10898048,0
0.989524968,0.803490485,0
0.600968129,0.852150121,0
0.396061181,0.3402167,1
0.253832249,0.126274642,0
0.977093295,0.487697993,0
0.938298072,0.857070943,0
0.40406391,0.637921835,1
0.960093047,0.324895287,0
0.28953641,0.908703705,0
0.287237271,0.176257511,0
0.298237446,0.345572832,1
0.264045064,0.65806467,0
0.759512624,0.762152795,0
0.097023585,0.273122915,0
0.173894696,0.066174826,0
0.487400372,0.362332378,1
0.809285442,0.16183019,0
0.286424638,0.047865548,0
0.228327224,0.491312384,0
0.393758182,0.342108885,1
0.958101966,0.658478024,0
0.314397098,0.041649432,0
0.207538365,0.664967388,0
0.851034968,0.939285764,0
0.045491694,0.135412243,0
0.972065642,0.883338296,0
0.932011957,0.369812614,0
0.972907154,0.575574919,0
0.759169341,0.591034769,0
0.777108888,0.589466631,0
0.167850665,0.120768556,0
0.191270514,0.778382635,0
